Población total
,

Consulta de: Población total   Por: Entidad y municipio   Según: Edad
 , , Total, De 0 a 4 años, De 5 a 9 años, De 10 a 14 años, De 15 a 19 años, De 20 a 24 años, De 25 a 29 años, De 30 a 34 años, De 35 a 39 años, De 40 a 44 años, De 45 a 49 años, De 50 a 54 años, De 55 a 59 años, De 60 a 64 años, De 65 a 69 años, De 70 a 74 años, De 75 a 79 años, De 80 a 84 años, 85 años y más, No especificado
 , Total,"126,014,024","10,047,365","10,764,379","10,943,540","10,806,690","10,422,095","9,993,001","9,420,827","9,020,276","8,503,586","7,942,413","7,037,532","5,695,958","4,821,062","3,645,077","2,647,340","1,814,582","1,175,364","1,039,551","273,386"
 01, Aguascalientes,"1,425,607","124,430","131,048","129,717","131,967","127,020","118,426","106,825","99,257","92,378","84,669","74,121","58,865","48,306","35,823","25,586","16,581","10,186","8,894","1,508"
 02, Baja California,"3,769,020","266,301","299,654","312,348","315,639","340,359","328,244","302,389","292,069","273,611","260,844","221,388","168,653","134,022","94,704","65,425","40,874","25,204","19,073","8,219"
 03, Baja California Sur,"798,447","62,455","66,933","67,665","65,469","66,743","68,798","67,779","64,927","59,389","51,771","43,337","33,731","27,095","19,274","12,545","8,166","4,649","3,879","3,842"
 04, Campeche,"928,363","78,935","82,015","80,168","76,140","75,556","72,798","72,709","70,275","64,170","57,628","50,254","40,805","32,778","25,796","17,559","11,916","7,536","7,031","4,294"
 05, Coahuila de Zaragoza,"3,146,771","279,912","276,224","268,144","269,284","264,313","245,917","224,329","219,634","218,687","205,202","178,214","142,215","118,950","84,422","61,684","39,801","24,851","18,829","6,159"
 06, Colima,"731,391","52,313","60,049","60,801","60,663","59,343","58,035","57,436","54,566","51,179","47,133","41,541","34,819","29,795","22,071","16,086","10,803","6,859","5,943","1,956"
 07, Chiapas,"5,543,828","574,152","612,792","583,132","526,577","464,523","424,403","396,045","372,863","329,204","284,333","243,848","196,355","158,726","125,777","85,855","63,158","38,245","35,996","27,844"
 08, Chihuahua,"3,741,869","291,286","317,322","333,715","326,333","314,067","298,299","275,644","263,669","251,983","248,522","219,930","173,639","140,861","100,944","74,018","50,265","31,387","22,346","7,639"
 09, Ciudad de México,"9,209,944","479,904","563,907","608,962","650,389","714,605","752,289","743,611","705,850","670,307","668,945","623,483","526,447","469,514","356,196","267,744","175,215","117,480","105,470","9,626"
 10, Durango,"1,832,650","167,600","176,033","170,271","162,990","153,588","141,107","129,526","118,830","114,976","108,070","97,009","79,997","66,536","49,727","36,956","25,689","17,026","13,544","3,175"
 11, Guanajuato,"6,166,934","538,846","547,545","549,301","552,092","540,587","501,868","462,332","439,045","407,230","365,660","318,197","250,808","214,406","161,765","118,285","81,110","54,366","51,442","12,049"
 12, Guerrero,"3,540,685","335,458","351,010","348,493","326,540","281,967","256,191","237,976","222,157","209,120","190,778","174,072","148,972","126,765","104,196","77,444","58,071","39,210","37,848","14,417"
 13, Hidalgo,"3,082,841","238,189","269,553","283,676","272,506","238,187","231,124","224,226","221,410","211,048","194,567","171,679","139,795","118,929","93,011","66,179","47,263","29,997","28,296","3,206"
 14, Jalisco,"8,348,151","670,983","718,100","714,906","716,259","704,359","668,334","639,006","602,903","549,859","511,537","444,689","357,080","313,011","240,553","181,420","120,885","76,495","66,721","51,051"
 14 001, Acatic,"23,175","2,192","2,242","2,299","2,125","1,904","1,685","1,724","1,583","1,501","1,347","1,038", 821, 730, 622, 536, 365, 263, 198, 
 14 002, Acatlán de Juárez,"25,250","2,100","2,190","3,197","2,613","1,989","1,857","1,676","1,505","1,412","1,532","1,394","1,058", 830, 648, 513, 329, 227, 176, 4
 14 003, Ahualulco de Mercado,"23,630","1,831","2,041","2,132","2,079","1,947","1,751","1,697","1,565","1,437","1,388","1,272","1,102", 996, 749, 599, 448, 296, 276, 24
 14 004, Amacueca,"5,743", 507, 549, 555, 452, 376, 370, 411, 394, 382, 313, 295, 251, 244, 199, 152, 128, 77, 88, 
 14 005, Amatitán,"16,490","1,538","1,607","1,600","1,612","1,384","1,299","1,156","1,044","1,001", 986, 838, 674, 552, 416, 299, 214, 158, 111, 1
 14 006, Ameca,"60,386","4,435","5,154","5,267","5,189","4,537","4,152","4,161","3,853","4,110","3,790","3,267","2,846","2,654","2,257","1,826","1,288", 804, 795, 1
 14 008, Arandas,"80,609","7,105","7,441","7,321","7,738","6,784","6,055","6,092","5,911","5,300","4,795","4,130","3,338","2,746","2,028","1,489","1,060", 709, 567, 
 14 010, Atemajac de Brizuela,"7,758", 816, 860, 853, 775, 640, 594, 542, 507, 425, 389, 311, 253, 194, 185, 153, 113, 66, 82, 
 14 011, Atengo,"5,599", 495, 535, 494, 455, 363, 356, 400, 379, 322, 319, 251, 240, 215, 206, 174, 162, 114, 119, 
